field,ref_ws,footprint,centre_freq_mhz,footprint_pitch_deg,footprint_rota_deg,pol_axis_deg,variant,beam,mean_dQ,std_dQ,mean_dU,std_dU,n_obs
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,1,-0.095144,0.112587,0.179511,0.007472,9
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,2,0.157922,0.094383,-0.105244,0.026935,9
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,3,0.130056,0.093936,0.403989,0.016636,9
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,4,0.4865,0.095795,0.602567,0.021112,9
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,5,0.6813,0.109255,0.491622,0.048869,9
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,6,-0.333878,0.159017,-0.019,0.021941,9
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,7,-0.1242,0.068507,-0.498244,0.023332,9
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,8,-0.195156,0.075476,0.048833,0.032453,9
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,9,-0.898178,0.146531,0.417056,0.015863,9
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,10,-1.484211,0.206375,0.576844,0.010827,9
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,11,-0.762,0.111538,0.402178,0.056496,9
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,12,1.481033,0.130675,-0.066589,0.028563,9
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,13,1.925244,0.076082,-0.068567,0.020712,9
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,14,1.622144,0.113209,0.086867,0.04538,9
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,15,-1.097922,0.158016,0.041778,0.017308,9
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,16,-1.001844,0.138411,0.271089,0.020638,9
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,17,-1.240422,0.128754,-0.012422,0.025918,9
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,18,0.876133,0.044511,0.148456,0.019248,9
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,19,1.5984,0.094144,0.221878,0.008588,9
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,20,0.473311,0.152268,-0.097511,0.01172,9
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,21,0.174622,0.097109,0.067156,0.017142,9
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,22,-0.0369,0.078632,-0.212756,0.011988,9
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,23,0.045311,0.107532,0.015356,0.032204,9
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,24,-0.574933,0.179244,0.100033,0.042307,9
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,25,-0.2152,0.114448,0.474711,0.014624,9
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,26,1.009756,0.162798,0.2065,0.019391,9
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,27,0.537333,0.211507,-0.124489,0.004824,9
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,28,-0.083144,0.102927,-0.875267,0.018899,9
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,29,-0.134633,0.066354,-0.012067,0.008751,9
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,30,-0.121711,0.118697,0.125033,0.071724,9
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,31,0.249267,0.083765,-0.160044,0.035608,9
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,32,0.482,0.099127,-0.169189,0.018372,9
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,33,-0.205411,0.097614,-0.306833,0.009272,9
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,34,-0.420067,0.091023,0.3112,0.013603,9
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,35,-0.731522,0.091735,-0.408289,0.061478,9
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,0,0.488967,0.155556,-0.066044,0.047408,9
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,1,-0.099544,0.109139,0.024111,0.005172,9
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,2,0.144433,0.101683,0.017933,0.01179,9
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,3,0.128656,0.09082,-0.005389,0.009445,9
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,4,0.485144,0.095099,0.045144,0.001891,9
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,5,0.688644,0.102765,0.019811,0.032201,9
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,6,-0.351744,0.15271,0.000656,0.015053,9
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,7,-0.151,0.060909,-0.000722,0.025417,9
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,8,-0.207056,0.071253,-0.018233,0.036408,9
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,9,-0.896089,0.147668,-0.0023,0.0135,9
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,10,-1.483144,0.203183,0.012078,0.013358,9
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,11,-0.728622,0.106573,0.0105,0.037573,9
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,12,1.456489,0.126594,-0.037144,0.031597,9
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,13,1.924667,0.076557,-0.021611,0.017288,9
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,14,1.633244,0.12338,-0.027356,0.036792,9
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,15,-1.058544,0.15481,0.016844,0.011563,9
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,16,-0.9979,0.139558,0.019467,0.017263,9
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,17,-1.232167,0.133039,0.029711,0.022706,9
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,18,0.875244,0.044244,-0.027756,0.01566,9
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,19,1.625833,0.086269,-0.010733,0.014513,9
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,20,0.489278,0.162559,0.011644,0.013274,9
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,21,0.177544,0.09938,0.0569,0.016817,9
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,22,-0.028656,0.075413,0.062478,0.014491,9
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,23,0.0669,0.094891,0.028956,0.03149,9
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,24,-0.581367,0.180019,-0.006311,0.030906,9
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,25,-0.209911,0.119024,-0.009722,0.017801,9
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,26,1.019122,0.172493,0.014967,0.010415,9
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,27,0.534711,0.217749,0.038644,0.004907,9
