field,footprint,centre_freq_mhz,footprint_pitch_deg,footprint_rota_deg,pol_axis_deg,variant,beam,mean_dQ,std_dQ,mean_dU,std_dU,n_obs
REF_0324-28,closepack36,920.5,0.9,45.0,-45.0,lcal,25,-0.2097,0.12724,-0.00665,0.016281,8
REF_0324-28,closepack36,920.5,0.9,45.0,-45.0,lcal,26,1.043125,0.167567,0.013988,0.010682,8
REF_0324-28,closepack36,920.5,0.9,45.0,-45.0,lcal,27,0.53675,0.232692,0.037325,0.0031,8
REF_0324-28,closepack36,920.5,0.9,45.0,-45.0,lcal,28,-0.072138,0.110348,0.0194,0.003468,8
REF_0324-28,closepack36,920.5,0.9,45.0,-45.0,lcal,29,-0.13275,0.069017,0.0206,0.006702,8
REF_0324-28,closepack36,920.5,0.9,45.0,-45.0,lcal,30,-0.099938,0.118412,-0.026312,0.012915,8
REF_0324-28,closepack36,920.5,0.9,45.0,-45.0,lcal,31,0.259312,0.087553,0.003738,0.014571,8
REF_0324-28,closepack36,920.5,0.9,45.0,-45.0,lcal,32,0.482525,0.10835,0.00705,0.011771,8
REF_0324-28,closepack36,920.5,0.9,45.0,-45.0,lcal,33,-0.194288,0.107991,0.048325,0.002308,8
REF_0324-28,closepack36,920.5,0.9,45.0,-45.0,lcal,34,-0.406425,0.071591,0.084825,0.005842,8
REF_0324-28,closepack36,920.5,0.9,45.0,-45.0,lcal,35,-0.738588,0.101597,0.950162,0.045545,8
REF_0236-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,0,0.7216,0.266765,-1.306843,0.034521,7
REF_0236-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,1,0.4316,0.066324,0.176714,0.007386,7
REF_0236-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,2,-0.7208,0.143116,-0.101414,0.032974,7
REF_0236-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,3,-0.039014,0.118877,0.416514,0.011974,7
REF_0236-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,4,0.426771,0.125835,0.600429,0.01038,7
REF_0236-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,5,-0.118086,0.078027,0.500957,0.052804,7
REF_0236-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,6,0.516743,0.090424,-0.025457,0.019226,7
REF_0236-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,7,0.322786,0.059893,-0.493743,0.013599,7
REF_0236-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,8,-0.015629,0.053704,0.046529,0.029551,7
REF_0236-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,9,-0.231529,0.102126,0.420271,0.010219,7
REF_0236-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,10,-0.017386,0.07674,0.573757,0.016376,7
REF_0236-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,11,-0.262514,0.058286,0.434029,0.067416,7
REF_0236-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,12,-0.057457,0.211984,-0.019757,0.021804,7
REF_0236-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,13,0.130714,0.061717,-0.076157,0.023208,7
REF_0236-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,14,0.156871,0.083923,0.081786,0.034709,7
REF_0236-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,15,-0.045771,0.113991,0.041014,0.005709,7
REF_0236-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,16,0.718114,0.125491,0.272314,0.013454,7
REF_0236-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,17,0.712914,0.141689,0.009257,0.026606,7
REF_0236-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,18,-0.655757,0.091005,0.1361,0.020301,7
REF_0236-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,19,-1.618929,0.097315,0.219,0.014769,7
REF_0236-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,20,-0.564929,0.127589,-0.099886,0.00864,7
REF_0236-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,21,0.199357,0.122644,0.0706,0.016591,7
REF_0236-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,22,0.440357,0.081017,-0.205071,0.006287,7
REF_0236-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,23,0.443814,0.089512,0.023043,0.041178,7
REF_0236-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,24,1.220329,0.144627,0.053414,0.021298,7
REF_0236-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,25,-1.581157,0.113406,0.480057,0.022555,7
REF_0236-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,26,-1.4807,0.091232,0.1992,0.012934,7
REF_0236-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,27,0.182686,0.138566,-0.137714,0.007709,7
REF_0236-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,28,0.172771,0.032878,-0.877886,0.020431,7
REF_0236-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,29,0.3246,0.066108,-0.010357,0.004753,7
REF_0236-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,30,-0.2673,0.061402,0.102957,0.023175,7
REF_0236-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,31,-0.311786,0.041334,-0.146157,0.034721,7
REF_0236-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,32,0.693257,0.096726,-0.172129,0.020879,7
REF_0236-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,33,0.441714,0.11018,-0.308729,0.014335,7
REF_0236-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,34,0.3587,0.14084,0.312557,0.011725,7
REF_0236-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,35,0.446843,0.1077,-0.301157,0.043594,7
REF_0236-28,closepack36,920.5,0.9,45.0,-45.0,lcal,0,0.695614,0.261759,-0.079114,0.042942,7
REF_0236-28,closepack36,920.5,0.9,45.0,-45.0,lcal,1,0.417729,0.058792,0.026186,0.005607,7
REF_0236-28,closepack36,920.5,0.9,45.0,-45.0,lcal,2,-0.745943,0.143903,0.022786,0.010894,7
REF_0236-28,closepack36,920.5,0.9,45.0,-45.0,lcal,3,-0.049243,0.111104,-0.002557,0.011021,7
REF_0236-28,closepack36,920.5,0.9,45.0,-45.0,lcal,4,0.415829,0.118573,0.031857,0.001086,7
REF_0236-28,closepack36,920.5,0.9,45.0,-45.0,lcal,5,-0.118729,0.068252,0.029143,0.031261,7
REF_0236-28,closepack36,920.5,0.9,45.0,-45.0,lcal,6,0.4917,0.099596,-0.016143,0.012348,7
REF_0236-28,closepack36,920.5,0.9,45.0,-45.0,lcal,7,0.307629,0.065452,0.0048,0.022128,7
