# dQ/dU per-beam mean correction factors
# Generated  : 2026-03-20 15:00
# Source CSV : /Users/raj030/DATA/reffield-average/leakage_master_table.csv
# Selection  : manifest indices 14–49, excl '24-29'
# SB_REFs    : 30 contributing observations
# Footprint  : closepack36
# Weights ID : 5241
# Centre Freq: 920.5 MHz
# Pitch      : 0.9 deg
# Rotation   : 45.0 deg
# Pol Axis   : 0.0 deg (pa_fixed)
#
# Lookup usage:
#   grep 'REF_1324-28.*bpcal.*  12 ' dq_du_correction_factors.txt
#
# Columns:
#   field       reference field name
#   footprint   beam footprint name (from schedblock metadata)
#   wt_id       ODC weights ID (weights.id)
#   freq_MHz    beamformer centre frequency (MHz)
#   pitch_deg   beam footprint pitch (degrees)
#   rot_deg     footprint rotation angle (degrees)
#   pol_deg     polarisation axis angle (degrees, pa_fixed)
#   variant     calibration variant  (bpcal | lcal)
#   beam        beam index  (0–35)
#   mean_dQ     mean signed dQ/I (%) across all SB_REF × ODC observations
#   std_dQ      standard deviation of dQ/I (%)
#   mean_dU     mean signed dU/I (%) across all SB_REF × ODC observations
#   std_dU      standard deviation of dU/I (%)
#   n_obs       number of (SB_REF, ODC) data rows for this beam
#
field                     footprint          wt_id  freq_MHz  pitch_deg  rot_deg  pol_deg  variant   beam    mean_dQ    std_dQ    mean_dU    std_dU  n_obs
REF_0324-28               closepack36         5241     920.5     0.9000     45.0      0.0  lcal        21    +0.1942    0.0918    +0.0580    0.0176      8
REF_0324-28               closepack36         5241     920.5     0.9000     45.0      0.0  lcal        22    -0.0290    0.0806    +0.0650    0.0131      8
REF_0324-28               closepack36         5241     920.5     0.9000     45.0      0.0  lcal        23    +0.0581    0.0974    +0.0340    0.0295      8
REF_0324-28               closepack36         5241     920.5     0.9000     45.0      0.0  lcal        24    -0.5953    0.1872    -0.0129    0.0254      8
REF_0324-28               closepack36         5241     920.5     0.9000     45.0      0.0  lcal        25    -0.2097    0.1272    -0.0066    0.0163      8
REF_0324-28               closepack36         5241     920.5     0.9000     45.0      0.0  lcal        26    +1.0431    0.1676    +0.0140    0.0107      8
REF_0324-28               closepack36         5241     920.5     0.9000     45.0      0.0  lcal        27    +0.5368    0.2327    +0.0373    0.0031      8
REF_0324-28               closepack36         5241     920.5     0.9000     45.0      0.0  lcal        28    -0.0721    0.1103    +0.0194    0.0035      8
REF_0324-28               closepack36         5241     920.5     0.9000     45.0      0.0  lcal        29    -0.1328    0.0690    +0.0206    0.0067      8
REF_0324-28               closepack36         5241     920.5     0.9000     45.0      0.0  lcal        30    -0.0999    0.1184    -0.0263    0.0129      8
REF_0324-28               closepack36         5241     920.5     0.9000     45.0      0.0  lcal        31    +0.2593    0.0876    +0.0037    0.0146      8
REF_0324-28               closepack36         5241     920.5     0.9000     45.0      0.0  lcal        32    +0.4825    0.1083    +0.0070    0.0118      8
REF_0324-28               closepack36         5241     920.5     0.9000     45.0      0.0  lcal        33    -0.1943    0.1080    +0.0483    0.0023      8
